round,institute,program,quota,category,opening_rank,closing_rank
Round 1,Heritage Institute of Technology,Electronics & Communication Engineering,Home State,Tuition Fee Waiver,2683,5125
Round 1,Narula Institute of Technology,Electronics & Communication Engineering,Home State,Tuition Fee Waiver,14327,16283
Round 1,Sanaka Education Trusts Group of Institutions,Electronics & Communication Engineering,Home State,Tuition Fee Waiver,28331,28331
Round 1,Dr. B. C. Roy Engineering College,Electronics & Communication Engineering,Home State,Tuition Fee Waiver,16479,23917
Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex,Electronics & Communication Engineering,Home State,Tuition Fee Waiver,24146,28039
Round 1,Academy of Technology,Electronics & Communication Engineering,Home State,Tuition Fee Waiver,7923,11425
Round 1,Ramkrishna Mahato Government Engineering College,Mechanical Engineering,Home State,OBC - B,16127,16440
Round 1,Calcutta Institute of Technology,Mechanical Engineering,All India,Open,358407,826905
Round 1,Govt. College of Engg. & Textile Technology,Mechanical Engineering,Home State,OBC - B,14627,14649
Round 1,Govt. College of Engg. & Textile Technology,Mechanical Engineering,Home State,ST,71978,99579
Round 1,Kalyani Goverment Engineering College,Mechanical Engineering,Home State,OBC - A,9191,11715
Round 1,Kalyani Goverment Engineering College,Mechanical Engineering,Home State,Open,1954,3849
Round 1,Jalpaiguri Goverment Engineering College,Mechanical Engineering,Home State,OBC - B,4693,5101
Round 1,Jalpaiguri Goverment Engineering College,Mechanical Engineering,Home State,EWS,5313,6507
Round 1,Ramkrishna Mahato Government Engineering College,Mechanical Engineering,Home State,EWS,19226,25213
Round 1,Kalyani Goverment Engineering College,Mechanical Engineering,Home State,SC,7945,12406
Round 1,Ghani Khan Choudhury Institute of Engineering & Technology,Mechanical Engineering,All India,Open,7078,13292
Round 1,Bankura Unnayani Institute of Engineering,Mechanical Engineering,All India,Open,61352,108794
Round 1,Gargi Memorial Institute of Technology,Computer Science And Business System,All India,Open,60784,103168
Round 1,Academy of Technology,Computer Science And Business System,All India,Open,10019,26571
Round 1,Academy of Technology,Computer Science And Business System,All India,Open,47613,60346
Round 1,University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology) - TFW",Home State,Tuition Fee Waiver,3883,4677
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (IOT),Home State,EWS,34076,38973
Round 1,Sister Nivedita University,Computer Science & Engineering (IOT),All India,Open,37550,106978
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (IOT),All India,Open,5490,13043
Round 1,Meghnad Saha Institute of Technology,Computer Science & Engineering (IOT),All India,Open,302627,311265
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering (IOT),All India,Open,13922,28514
Round 1,Techno International New Town,Computer Science & Engineering (IOT),All India,Open,403759,508340
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering (IOT),Home State,EWS,76855,76855
Round 1,Techno Main Salt Lake,Computer Science & Engineering (IOT),Home State,EWS,32876,59219
Round 1,Heritage Institute of Technology,Biotechnology,Home State,EWS,19296,39513
Round 1,Heritage Institute of Technology,Biotechnology,All India,Open,25088,92442
Round 1,Adamas University,Biotechnology,All India,Open,231427,542532
Round 1,Haldia Institute of Technology,Biotechnology,Home State,ST,91991,91991
Round 1,Heritage Institute of Technology,Biotechnology,Home State,ST,52087,52087
Round 1,Techno India University,Biotechnology,All India,Open,157171,223844
Round 1,Haldia Institute of Technology,Biotechnology,Home State,SC,33473,50792
Round 1,Heritage Institute of Technology,Biotechnology,Home State,SC,18811,18811
Round 1,Techno India University,Biotechnology,Home State,EWS,47210,72299
Round 1,Haldia Institute of Technology,Biotechnology,All India,Open,126784,156612
Round 1,Sister Nivedita University,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,31185,109622
Round 1,Asansol Engineering College,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,26896,83494
Round 1,Elitte College of Engineering,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,100806,100806
Round 1,Meghnad Saha Institute of Technology,Computer Science & Engineering (IOT),All India,Open,20276,64550
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering (IOT),All India,Open,129879,161528
Round 1,Techno International Batanagar,Computer Science & Engineering (IOT),All India,Open,602968,602968
